zone_id,zone_name,school_type,shade_score,lat,lon,area_m2
1,Center for the Study of Language...,Humanities,0.49745401188473626,37.4304226,-122.1787579,0.0
2,Galvez Help Center,General,0.5550714306409916,37.4307725,-122.1649645,0.0
3,Sterling Quadrangle,General,0.5331993941811405,37.425793,-122.1802778,0.0
4,Lagunita Court,General,0.5198658484197036,37.4248886,-122.1762771,0.0
5,Polya Data Center,General,0.47560186404424365,37.4288281,-122.1777426,0.0
6,Spruce Hall,Residential,0.5455994520336203,37.4285503,-122.1769092,0.0
7,Turing Hall,Residential,0.5358083612168199,37.4288507,-122.1775522,0.0
8,Keck Hall,Residential,0.6166176145774935,37.4316585,-122.1719222,0.0
9,Crothers Memorial Hall,Residential,0.5901115011743209,37.4257703,-122.164747,0.0
10,Lucie Stern Hall,Dining,0.5308072577796046,37.42446064754663,-122.16567725041293,1.016222360003862e-06
11,Main Quad,General,0.46205844942958024,37.427644619687854,-122.17021975966867,3.1837737449971894e-06
12,Stanford Hospital,Medicine,0.5569909852161994,37.43437152006412,-122.1750443998213,2.607893985003987e-06
13,Florence Moore Hall,Residential,0.6132442640800422,37.42202647260024,-122.1717769775356,6.667190700002102e-07
14,Faculty Club,Dining,0.48123391106782765,37.42390889318836,-122.17174207506456,1.347490500008298e-07
15,Green Earth Sciences Building,Library,0.40818249672071,37.42689827230261,-122.17395275961516,3.470065799980291e-07
16,Alway,General,0.4783404509853434,37.432394646534185,-122.1748970470792,3.576740449993355e-07
17,Lane,General,0.4904242242959538,37.43254252641555,-122.1756260140499,2.8246366999675976e-07
18,Edwards,General,0.5124756431632238,37.43268865784881,-122.1763222341875,3.003207699984945e-07
19,Boswell,General,0.5031945018642116,37.43315221179065,-122.175429975762,3.3704103500141936e-07
20,Grant,General,0.4891229140198042,37.43296964995659,-122.17466792390442,4.351337199966366e-07
21,General Zone 21,General,0.521185289472238,37.43477345195525,-122.18074487437048,2.886222799993521e-07
22,Residential Zone 22,Residential,0.5439493860652042,37.43566328843627,-122.17951078322795,5.206697000037819e-08
23,General Zone 23,General,0.4892144648535218,37.43535627164549,-122.17939504165281,1.0693636000020233e-07
24,Residential Zone 24,Residential,0.5666361843293691,37.435524432738475,-122.17987431267423,5.5216885000316046e-08
25,Roble Gymnasium,StudentCenter,0.6456069984217035,37.426179311659034,-122.17479864327859,4.326012799980885e-07
26,McMurtry Art,Arts,0.6085175961393013,37.432597733799504,-122.17173989955688,3.343368099984278e-07
27,Stanford Humanities Center,Humanities,0.47996737821583596,37.42464699148458,-122.17213313599602,1.605718349989058e-07
